Format, Traqmate Trackvision, V2
Track, VMP
Vehicle, Peter's DSP BMW
Driver, Peter Florance
Starting Date, 06/11/2011
Starting Time, 18:36:59.751
Sample Rate (samps/sec), 20
Duration (secs),    565.750
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap 
0,67021251,1661,1.750000,37.166155,-77.524145,0.648532,0.043585,164,58.000000,0.000000,0.000000,0.000000,-0.212506,83.505352,0.101724,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.800000,37.166155,-77.524145,0.655388,0.029691,164,58.000000,0.000000,0.000000,0.000000,-0.324067,83.505352,0.100000,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.850000,37.166155,-77.524145,0.678802,0.025932,164,58.000000,0.000000,0.000000,0.000000,-0.433737,83.505352,0.096552,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.900000,37.166155,-77.524145,0.709603,0.033690,164,58.000000,0.000000,0.000000,0.000000,-0.539626,83.505352,0.101724,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.950000,37.166155,-77.524145,0.742546,0.055556,164,58.000000,0.000000,0.000000,0.000000,-0.651187,83.505352,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67021751,1661,2.000000,37.166155,-77.524145,0.857153,0.024395,164,58.000000,0.000000,0.000000,0.000000,0.294099,84.311483,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.050000,37.166155,-77.524145,0.865930,0.044028,164,58.000000,0.000000,0.000000,0.000000,0.186319,84.311483,0.101724,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.100000,37.166155,-77.524145,0.867482,0.057509,164,58.000000,0.000000,0.000000,0.000000,0.074758,84.311483,0.098276,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.150000,37.166155,-77.524145,0.862507,0.055823,164,58.000000,0.000000,0.000000,0.000000,-0.033022,84.311483,0.100000,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.200000,37.166155,-77.524145,0.862195,0.053967,164,58.000000,0.000000,0.000000,0.000000,-0.142692,84.311483,0.101724,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.250000,37.166155,-77.524145,0.859392,0.063922,164,58.000000,0.000000,0.000000,0.000000,-0.254254,84.311483,0.098276,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.300000,37.166155,-77.524145,0.840875,0.062559,164,58.000000,0.000000,0.000000,0.000000,-0.362033,84.311483,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.350000,37.166155,-77.524145,0.823032,0.042965,164,58.000000,0.000000,0.000000,0.000000,-0.471704,84.311483,0.096552,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.400000,37.166155,-77.524145,0.812133,0.010172,164,58.000000,0.000000,0.000000,0.000000,-0.577592,84.311483,0.100000,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021751,1661,2.450000,37.166155,-77.524145,0.807850,-0.031932,164,58.000000,0.000000,0.000000,0.000000,-0.687263,84.311483,0.100000,0.063758,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67022251,1661,2.500000,37.166156,-77.524145,1.102054,0.048790,164,58.000000,0.000000,0.000000,0.000000,0.335609,84.940056,0.098276,0.077181,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.550000,37.166156,-77.524145,1.113250,0.070634,164,58.000000,0.000000,0.000000,0.000000,0.227829,84.940056,0.101724,0.063758,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.600000,37.166156,-77.524145,1.121331,0.085182,164,58.000000,0.000000,0.000000,0.000000,0.116268,84.940056,0.098276,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.650000,37.166156,-77.524145,1.116069,0.091682,164,58.000000,0.000000,0.000000,0.000000,0.008488,84.940056,0.101724,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.700000,37.166156,-77.524145,1.116172,0.091770,164,58.000000,0.000000,0.000000,0.000000,-0.103073,84.940056,0.098276,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.750000,37.166156,-77.524145,1.110147,0.096052,164,58.000000,0.000000,0.000000,0.000000,-0.210853,84.940056,0.100000,0.065436,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.800000,37.166156,-77.524145,1.111831,0.080756,164,58.000000,0.000000,0.000000,0.000000,-0.320523,84.940056,0.098276,0.073826,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.850000,37.166156,-77.524145,1.128664,0.064440,164,58.000000,0.000000,0.000000,0.000000,-0.428303,84.940056,0.094828,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.900000,37.166156,-77.524145,1.159334,0.057859,164,58.000000,0.000000,0.000000,0.000000,-0.532301,84.940056,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022251,1661,2.950000,37.166156,-77.524145,1.198182,0.061310,164,58.000000,0.000000,0.000000,0.000000,-0.640080,84.940056,0.098276,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67022751,1661,3.000000,37.166157,-77.524145,1.377568,0.073184,164,58.000000,0.000000,0.000000,0.000000,0.377170,82.434567,0.100000,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.050000,37.166157,-77.524145,1.394459,0.095031,164,58.000000,0.000000,0.000000,0.000000,0.267500,82.434567,0.100000,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.100000,37.166157,-77.524144,1.402973,0.112625,164,58.000000,0.000000,0.000000,0.000000,0.157829,82.434567,0.101724,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67022751,1661,3.150000,37.166157,-77.524144,1.403710,0.124070,164,58.000000,0.000000,0.000000,0.000000,0.046268,82.434567,0.100000,0.072148,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
